"CourseId"|"CourseName"|"CourseCategoryId"|"CourseTitle"|"CourseDescription"|"CourseCredits"|"CourseReferenceId"
130|"AFRICAN 503"|503|"African Linguistic Structures-Morphology and Syntax"|"Morphological and syntactic characteristics of various African languages, with emphasis on noun-class systems, pluralization, verbal systems and word formation. "|"3-4"|164
131|"AFRICAN 605"|605|"Advanced Topics in African Cultural Studies"|"Introduces foundational texts in the study of modern Africa and the social, political, and economic contexts of the continent's cultural production and productivity. Conceptual explorations of interesting issues such as the African encounter with Europe, anticolonialism, race, racialism, and subjectivity, African and European languages and epistemology, transformations in gendered structures, and the environment, and the circulation and consumption of cultural forms and practices. Examines the long histories and theories of cultural production and practices in Africa, the local/global provenance of forms and styles, and the contexts of their local, national, and global circulation and consumption. Promotes critical thinking by putting like and unlike texts together and considering rhetoric and implied meanings, all in the context of Africa's interactive history with the world in the modern era. "|"3"|24520
132|"AFRICAN 606"|606|"Advanced Topics in African Literature"|"A critical and historical study of selected topics in African literary studies. "|"3"|24522
133|"AFRICAN 609"|609|"Advanced Topics in Global Black Music Studies"|"""Examines critical concepts in the cultural study of racially specified """"black music"""" as it has developed into a global phenomenon. Pairs major theories in black cultural analysis (postcolonial criticism, diaspora theory, global capitalism, etc.) with a body of literature pertaining to a particular musical topic, geographic area, or tradition. Develops critical skills for undertaking cultural music analysis. Considers the long histories and theories of cultural production and practices in global Africa, the local/global provenance of forms and styles, and the contexts of their local, national, and global circulation and consumption. """|"3"|24523
134|"AFRICAN 669"|669|"Special Topics"|"Special topics across various genres of African Cultural Studies covering cultural production, circulation, consumption, and meaning making in Africa. "|"3"|179
135|"AFRICAN 670"|670|"Theories and Methods of Learning a Less Commonly Taught Language"|"A theoretical and practical exploration of second language acquisition (SLA) and self-instructional methods. Tests and/or modifies one or more theories/methods by putting these self-instructional methods into practice in order to learn a less commonly taught language (LCTL). "|"2"|24159
136|"AFRICAN 671"|671|"Multilanguage Seminar"|"Discusses use of self-instructional methods to learn a less commonly taught language (LCTL), gets feedback on individualized syllabi and assessment plans, and presents progress reports orally and in writing. Homework includes continuous self-instruction in the chosen LCTL including reading, writing, oral, and listening skills; work with a conversation partner; and cultural knowledge. "|"4"|24579
137|"AFRICAN 672"|672|"Intensive Summer Multilanguage Seminar"|"A theoretical and practical exploration of second language acquisition (SLA) and self-instructional methods. Test and/or modify one or more theories/methods by putting these self-instructional methods into practice in order to learn a less commonly taught language (LCTL). "|"8"|25980
138|"AFRICAN 681"|681|"Senior Honors Thesis"|"Mentored individual research and study for students completing African Cultural Studies Honors in the Major. "|"3"|180
139|"AFRICAN 682"|682|"Senior Honors Thesis"|"Mentored individual research and study for students completing African Cultural Studies Honors in the Major. "|"3"|181
140|"AFRICAN 697"|697|"Directed Study of a Less Commonly Taught Language"|"Monitored self-instruction of a less commonly taught language, meeting individually with the instructor. Requires development of an individualized study plan, bibliographic and online research, work with conversation partners online or in the community, and regular self-assessments. "|"3-5"|24160
141|"AFRICAN 698"|698|"Directed Study"|"Advanced directed study projects as arranged with a faculty member. "|"1-6"|182
142|"AFRICAN 699"|699|"Directed Study"|"Advanced directed study projects as arranged with a faculty member. "|"1-6"|183
143|"AFRICAN 700"|700|"Reading and Writing African Cultural Studies"|"Covers the norms and expectations that inhere in academic writing as well as the mechanics of producing original scholarship. Designed to develop a full understanding of the craft of marshaling evidence to support an argument in the humanities, particularly African cultural studies. "|"3"|24521
144|"AFRICAN 701"|701|"Advanced Topics in African Linguistics"|"Advanced study of a topic in African linguistics. Content will vary with each offering. "|"3"|184
145|"AFRICAN 703"|703|"Topics in Teaching African Languages"|"Theories and teaching methodologies for second language acquisition plus practical classroom techniques for teaching and directing programs in African languages. "|"1"|24524
146|"AFRICAN 704"|704|"Topics in African Cultural Studies Pedagogy"|"Explores key thematics in the teaching and understanding of African cultural studies. Organized around methodology and pedagogy: what is, how we know, name, and categorize; and how we teach, analyze, and communicate. "|"1"|24563
147|"AFRICAN 705"|705|"Teaching Portfolio"|"Develops metacognitive skills and critical thinking about teaching as a scholarly activity, through the creation of a teaching portfolio that documents the ideas and objectives that have informed their teaching to date and potential future teaching. "|"2"|24578
148|"AFRICAN 796"|796|"Teaching Apprenticeship"|"Observation and discussion of undergraduate culture course. Consideration of pedagogical issues and limited opportunity for practice teaching. "|"3"|24813
